faixa;veh_id;timestamp;velocidade;comprimento
0;veh_3;2016-08-10 00:00:54;108.2;2.7
0;veh_10;2016-08-10 00:01:15;108.9;6.3
0;veh_14;2016-08-10 00:01:38;106.8;2.3
0;veh_15;2016-08-10 00:01:43;99.9;2.6
1;veh_26;2016-08-10 00:02:14;99.1;2.1
0;veh_25;2016-08-10 00:02:15;93.3;1.3
1;veh_30;2016-08-10 00:02:25;109.0;3.0
0;veh_29;2016-08-10 00:02:29;86.7;13.7
0;veh_31;2016-08-10 00:02:32;89.2;9.0
1;veh_6;2016-08-10 00:02:34;109.2;5.5
1;veh_34;2016-08-10 00:02:45;108.6;3.4
1;veh_11;2016-08-10 00:02:47;109.8;1.9
1;veh_12;2016-08-10 00:02:49;108.6;6.4
0;veh_5;2016-08-10 00:02:49;89.8;12.2
1;veh_38;2016-08-10 00:02:51;105.7;1.9
1;veh_37;2016-08-10 00:02:51;91.9;5.0
0;veh_7;2016-08-10 00:03:02;88.1;7.1
0;veh_39;2016-08-10 00:03:11;96.4;4.7
0;veh_44;2016-08-10 00:03:21;106.5;1.8
0;veh_17;2016-08-10 00:03:25;99.0;1.5
0;veh_13;2016-08-10 00:03:31;83.4;18.9
0;veh_50;2016-08-10 00:03:47;90.4;1.9
0;veh_22;2016-08-10 00:03:50;89.1;14.9
1;veh_32;2016-08-10 00:03:52;108.3;4.2
0;veh_53;2016-08-10 00:03:54;86.7;10.5
0;veh_24;2016-08-10 00:03:57;89.2;2.7
0;veh_46;2016-08-10 00:04:21;82.7;17.8
1;veh_75;2016-08-10 00:05:33;107.1;6.4
0;veh_52;2016-08-10 00:05:33;87.0;14.3
1;veh_58;2016-08-10 00:05:35;108.8;4.3
1;veh_69;2016-08-10 00:05:37;106.3;2.9
1;veh_57;2016-08-10 00:05:40;105.7;1.4
0;veh_80;2016-08-10 00:05:42;87.8;10.1
0;veh_59;2016-08-10 00:05:58;105.7;6.0
0;veh_61;2016-08-10 00:06:00;107.0;2.4
0;veh_89;2016-08-10 00:06:16;106.9;5.2
0;veh_91;2016-08-10 00:06:26;96.9;5.8
0;veh_65;2016-08-10 00:06:35;91.8;1.5
1;veh_82;2016-08-10 00:06:57;107.4;5.9
0;veh_68;2016-08-10 00:06:58;83.5;15.8
0;veh_93;2016-08-10 00:07:05;100.7;1.5
0;veh_95;2016-08-10 00:07:08;107.5;3.6
0;veh_99;2016-08-10 00:07:16;89.5;12.0
1;veh_84;2016-08-10 00:07:21;104.8;1.7
0;veh_101;2016-08-10 00:07:23;104.6;1.4
0;veh_86;2016-08-10 00:07:27;109.6;2.0
0;veh_103;2016-08-10 00:07:31;102.9;4.0
1;veh_105;2016-08-10 00:07:32;110.0;4.4
0;veh_108;2016-08-10 00:07:35;109.3;3.8
1;veh_83;2016-08-10 00:07:43;87.4;10.3
0;veh_109;2016-08-10 00:07:44;87.4;6.9
0;veh_115;2016-08-10 00:07:50;96.2;1.8
1;veh_118;2016-08-10 00:07:50;105.7;2.7
0;veh_120;2016-08-10 00:07:58;102.1;6.7
0;veh_124;2016-08-10 00:08:04;89.9;7.6
0;veh_92;2016-08-10 00:08:13;86.8;7.7
0;veh_98;2016-08-10 00:08:25;109.9;3.3
0;veh_131;2016-08-10 00:08:28;84.2;15.4
0;veh_96;2016-08-10 00:08:41;84.5;17.2
0;veh_107;2016-08-10 00:08:58;109.6;3.5
0;veh_140;2016-08-10 00:09:00;89.8;11.2
0;veh_100;2016-08-10 00:09:09;82.8;17.4
1;veh_116;2016-08-10 00:09:12;107.9;3.8
1;veh_117;2016-08-10 00:09:14;109.1;4.1
0;veh_102;2016-08-10 00:09:15;89.6;14.1
0;veh_144;2016-08-10 00:09:20;78.1;7.8
0;veh_111;2016-08-10 00:09:28;89.9;7.5
0;veh_149;2016-08-10 00:09:31;109.0;6.5
0;veh_119;2016-08-10 00:09:40;89.7;8.6
1;veh_130;2016-08-10 00:09:44;105.8;1.4
0;veh_125;2016-08-10 00:09:50;89.3;8.7
1;veh_132;2016-08-10 00:09:58;104.9;6.4
1;veh_137;2016-08-10 00:10:00;103.3;2.0
1;veh_154;2016-08-10 00:10:01;104.7;7.0
0;veh_126;2016-08-10 00:10:03;84.3;18.3
0;veh_157;2016-08-10 00:10:07;107.7;6.1
0;veh_161;2016-08-10 00:10:19;107.7;3.8
0;veh_162;2016-08-10 00:10:21;108.7;3.1
1;veh_163;2016-08-10 00:10:25;109.7;6.8
0;veh_167;2016-08-10 00:10:32;107.9;1.0
0;veh_170;2016-08-10 00:10:46;89.9;12.0
1;veh_171;2016-08-10 00:10:47;96.3;3.9
0;veh_174;2016-08-10 00:10:58;104.9;4.1
0;veh_148;2016-08-10 00:11:13;86.9;7.1
0;veh_179;2016-08-10 00:11:19;109.4;3.3
0;veh_158;2016-08-10 00:11:30;97.0;4.7
0;veh_164;2016-08-10 00:11:50;107.3;6.7
0;veh_165;2016-08-10 00:12:02;99.2;3.3
1;veh_168;2016-08-10 00:12:05;106.2;4.7
0;veh_159;2016-08-10 00:12:07;83.6;18.5
0;veh_172;2016-08-10 00:12:23;92.9;1.4
1;veh_176;2016-08-10 00:12:33;107.8;5.8
0;veh_173;2016-08-10 00:12:35;89.4;9.3
1;veh_177;2016-08-10 00:12:42;107.0;7.0
0;veh_180;2016-08-10 00:12:42;107.5;6.4
0;veh_182;2016-08-10 00:12:47;107.2;3.3
0;veh_198;2016-08-10 00:13:00;107.5;1.9
0;veh_184;2016-08-10 00:13:11;100.1;6.9
0;veh_203;2016-08-10 00:13:17;86.5;7.2
1;veh_185;2016-08-10 00:13:18;95.6;2.4
0;veh_205;2016-08-10 00:13:23;87.2;8.7
1;veh_207;2016-08-10 00:13:25;106.5;5.0
0;veh_199;2016-08-10 00:13:51;87.9;14.0
1;veh_191;2016-08-10 00:13:52;100.0;5.2
1;veh_193;2016-08-10 00:13:55;109.5;6.9
0;veh_210;2016-08-10 00:13:57;108.6;3.4
0;veh_192;2016-08-10 00:14:13;86.8;12.2
0;veh_195;2016-08-10 00:14:27;91.0;6.3
1;veh_213;2016-08-10 00:14:28;107.9;5.4
1;veh_215;2016-08-10 00:14:37;107.9;6.0
0;veh_214;2016-08-10 00:14:40;88.6;4.1
0;veh_204;2016-08-10 00:14:46;106.1;1.1
1;veh_206;2016-08-10 00:14:48;106.8;4.2
0;veh_200;2016-08-10 00:14:52;89.6;9.2
0;veh_197;2016-08-10 00:14:56;84.4;17.6
0;veh_202;2016-08-10 00:14:59;87.9;13.9
0;veh_218;2016-08-10 00:15:47;106.9;4.1
0;veh_220;2016-08-10 00:15:54;108.6;3.6
0;veh_235;2016-08-10 00:16:37;104.4;3.1
0;veh_239;2016-08-10 00:16:51;83.1;19.3
0;veh_241;2016-08-10 00:17:01;108.0;6.3
0;veh_217;2016-08-10 00:17:07;106.8;6.7
0;veh_223;2016-08-10 00:17:21;106.6;4.6
1;veh_252;2016-08-10 00:17:24;106.6;2.7
0;veh_219;2016-08-10 00:17:25;99.7;6.2
0;veh_228;2016-08-10 00:17:37;107.3;3.6
1;veh_257;2016-08-10 00:17:42;88.5;10.0
0;veh_255;2016-08-10 00:17:43;77.8;16.0
1;veh_256;2016-08-10 00:17:44;86.5;5.5
1;veh_224;2016-08-10 00:17:49;89.4;7.4
0;veh_222;2016-08-10 00:17:50;84.3;17.9
1;veh_263;2016-08-10 00:17:51;86.8;2.6
1;veh_269;2016-08-10 00:17:57;109.9;2.7
0;veh_226;2016-08-10 00:18:02;82.4;19.0
0;veh_230;2016-08-10 00:18:07;86.6;7.4
0;veh_254;2016-08-10 00:18:09;92.8;3.3
0;veh_237;2016-08-10 00:18:18;96.1;5.4
0;veh_242;2016-08-10 00:18:30;103.7;5.0
1;veh_243;2016-08-10 00:18:31;106.8;5.1
1;veh_245;2016-08-10 00:18:32;107.0;4.1
1;veh_240;2016-08-10 00:18:34;103.1;6.2
0;veh_276;2016-08-10 00:18:35;83.3;19.8
0;veh_286;2016-08-10 00:19:06;87.0;12.9
0;veh_287;2016-08-10 00:19:09;88.0;12.2
0;veh_253;2016-08-10 00:19:13;88.0;9.3
0;veh_289;2016-08-10 00:19:16;86.7;9.3
1;veh_265;2016-08-10 00:19:20;102.9;4.3
0;veh_258;2016-08-10 00:19:25;88.9;9.4
1;veh_300;2016-08-10 00:19:33;109.1;5.0
0;veh_299;2016-08-10 00:19:36;84.2;17.2
0;veh_260;2016-08-10 00:19:44;82.3;11.4
1;veh_304;2016-08-10 00:19:45;105.9;6.9
1;veh_313;2016-08-10 00:19:57;106.8;1.1
0;veh_312;2016-08-10 00:20:02;82.5;18.8
0;veh_317;2016-08-10 00:20:07;88.3;12.8
0;veh_294;2016-08-10 00:20:11;83.8;19.2
0;veh_282;2016-08-10 00:20:16;100.8;1.6
0;veh_323;2016-08-10 00:20:31;87.6;4.4
0;veh_292;2016-08-10 00:20:43;109.5;2.5
1;veh_303;2016-08-10 00:20:48;109.0;2.0
0;veh_328;2016-08-10 00:20:49;88.6;11.0
1;veh_298;2016-08-10 00:20:53;104.9;5.4
0;veh_295;2016-08-10 00:20:54;102.5;1.5
0;veh_293;2016-08-10 00:21:12;83.1;16.8
1;veh_333;2016-08-10 00:21:14;83.6;18.8
1;veh_336;2016-08-10 00:21:16;82.2;6.6
0;veh_339;2016-08-10 00:21:18;80.7;5.8
1;veh_306;2016-08-10 00:21:18;84.9;4.0
0;veh_316;2016-08-10 00:21:22;109.5;6.1
