faixa;veh_id;timestamp;velocidade;comprimento
0;veh_6;2016-08-10 00:01:53;107.9;3.9
0;veh_5;2016-08-10 00:01:59;87.7;8.1
1;veh_11;2016-08-10 00:02:06;108.1;1.9
1;veh_12;2016-08-10 00:02:08;108.0;6.3
0;veh_7;2016-08-10 00:02:12;89.4;14.8
0;veh_13;2016-08-10 00:02:38;82.9;16.3
1;veh_17;2016-08-10 00:02:41;101.8;1.5
0;veh_22;2016-08-10 00:03:01;88.1;9.5
0;veh_24;2016-08-10 00:03:07;86.5;2.4
1;veh_32;2016-08-10 00:03:12;107.6;3.3
0;veh_46;2016-08-10 00:03:28;82.8;15.5
0;veh_52;2016-08-10 00:04:43;89.5;14.2
0;veh_58;2016-08-10 00:04:54;110.0;5.9
0;veh_69;2016-08-10 00:04:56;109.2;2.1
0;veh_57;2016-08-10 00:04:59;109.6;2.6
0;veh_59;2016-08-10 00:05:16;104.1;3.5
0;veh_61;2016-08-10 00:05:19;106.8;1.6
0;veh_65;2016-08-10 00:05:49;96.0;1.4
0;veh_68;2016-08-10 00:06:05;83.9;15.9
0;veh_73;2016-08-10 00:06:12;105.7;1.4
0;veh_82;2016-08-10 00:06:16;106.7;3.0
1;veh_76;2016-08-10 00:06:18;109.2;5.4
0;veh_93;2016-08-10 00:06:20;101.1;2.5
0;veh_95;2016-08-10 00:06:28;109.4;6.1
0;veh_84;2016-08-10 00:06:40;108.0;2.0
0;veh_86;2016-08-10 00:06:46;109.5;1.7
1;veh_88;2016-08-10 00:06:53;107.6;6.0
0;veh_83;2016-08-10 00:06:53;87.1;7.7
0;veh_90;2016-08-10 00:06:59;108.3;1.3
0;veh_94;2016-08-10 00:07:10;105.3;1.4
0;veh_92;2016-08-10 00:07:23;86.7;9.8
1;veh_98;2016-08-10 00:07:44;106.9;5.7
0;veh_96;2016-08-10 00:07:49;83.7;17.6
0;veh_100;2016-08-10 00:08:16;84.5;19.5
1;veh_107;2016-08-10 00:08:17;109.9;4.1
0;veh_102;2016-08-10 00:08:25;88.5;15.0
1;veh_116;2016-08-10 00:08:31;108.9;6.7
1;veh_117;2016-08-10 00:08:33;108.8;3.5
0;veh_111;2016-08-10 00:08:39;89.2;7.4
0;veh_119;2016-08-10 00:08:51;87.8;12.4
0;veh_125;2016-08-10 00:09:00;88.3;13.9
1;veh_130;2016-08-10 00:09:03;109.6;1.5
0;veh_126;2016-08-10 00:09:10;83.0;16.7
1;veh_127;2016-08-10 00:09:10;89.7;3.2
1;veh_132;2016-08-10 00:09:12;91.1;5.7
1;veh_137;2016-08-10 00:09:15;105.4;2.9
0;veh_150;2016-08-10 00:09:38;84.7;15.6
0;veh_148;2016-08-10 00:10:23;88.5;11.8
0;veh_158;2016-08-10 00:10:45;99.4;6.5
1;veh_164;2016-08-10 00:11:09;106.8;6.5
0;veh_159;2016-08-10 00:11:15;84.3;18.3
0;veh_165;2016-08-10 00:11:17;100.5;5.2
0;veh_168;2016-08-10 00:11:23;106.7;4.5
0;veh_172;2016-08-10 00:11:37;98.1;1.6
0;veh_173;2016-08-10 00:11:45;89.1;8.9
0;veh_176;2016-08-10 00:11:52;109.4;4.5
1;veh_177;2016-08-10 00:12:01;108.5;4.3
0;veh_180;2016-08-10 00:12:01;107.5;3.1
0;veh_182;2016-08-10 00:12:06;107.5;6.9
0;veh_184;2016-08-10 00:12:28;102.3;4.4
0;veh_185;2016-08-10 00:12:33;97.8;1.0
0;veh_199;2016-08-10 00:13:01;86.4;14.4
0;veh_191;2016-08-10 00:13:08;100.7;5.0
0;veh_193;2016-08-10 00:13:14;107.1;3.2
0;veh_192;2016-08-10 00:13:23;87.4;10.7
0;veh_195;2016-08-10 00:13:39;91.4;6.5
1;veh_200;2016-08-10 00:14:02;87.2;8.9
0;veh_197;2016-08-10 00:14:03;83.1;16.5
1;veh_204;2016-08-10 00:14:04;89.1;1.7
1;veh_206;2016-08-10 00:14:07;108.1;3.3
0;veh_202;2016-08-10 00:14:09;88.8;12.2
0;veh_217;2016-08-10 00:16:26;107.1;3.2
0;veh_219;2016-08-10 00:16:40;97.3;5.2
1;veh_223;2016-08-10 00:16:41;109.8;4.5
1;veh_228;2016-08-10 00:16:56;109.3;6.1
0;veh_222;2016-08-10 00:16:58;82.3;18.3
1;veh_224;2016-08-10 00:17:00;88.2;10.9
0;veh_226;2016-08-10 00:17:10;82.9;18.6
0;veh_230;2016-08-10 00:17:17;86.9;10.4
0;veh_254;2016-08-10 00:17:23;94.8;3.4
0;veh_237;2016-08-10 00:17:32;96.3;6.8
0;veh_240;2016-08-10 00:17:48;103.1;5.0
1;veh_242;2016-08-10 00:17:48;103.3;4.6
1;veh_243;2016-08-10 00:17:49;102.1;5.0
1;veh_245;2016-08-10 00:17:51;108.6;4.6
0;veh_270;2016-08-10 00:17:52;104.3;1.0
0;veh_247;2016-08-10 00:17:56;110.1;6.2
0;veh_253;2016-08-10 00:18:23;87.2;9.7
0;veh_258;2016-08-10 00:18:35;86.6;12.4
1;veh_265;2016-08-10 00:18:38;105.3;4.8
0;veh_260;2016-08-10 00:18:49;80.1;13.2
0;veh_294;2016-08-10 00:19:19;84.1;18.0
0;veh_282;2016-08-10 00:19:33;99.3;1.5
0;veh_292;2016-08-10 00:20:02;107.3;2.0
0;veh_303;2016-08-10 00:20:07;105.9;2.3
0;veh_295;2016-08-10 00:20:11;104.4;2.0
1;veh_298;2016-08-10 00:20:12;107.7;6.3
0;veh_293;2016-08-10 00:20:20;82.4;17.3
0;veh_306;2016-08-10 00:20:31;108.6;5.5
0;veh_316;2016-08-10 00:20:42;108.2;6.1
0;veh_307;2016-08-10 00:20:53;83.9;16.7
0;veh_314;2016-08-10 00:20:55;87.3;9.0
1;veh_326;2016-08-10 00:21:22;99.6;2.4
0;veh_344;2016-08-10 00:21:22;100.0;5.2
0;veh_349;2016-08-10 00:21:46;86.9;7.5
0;veh_340;2016-08-10 00:21:58;108.0;4.2
1;veh_338;2016-08-10 00:22:00;105.2;5.0
0;veh_335;2016-08-10 00:22:01;96.8;4.7
0;veh_348;2016-08-10 00:22:29;107.8;6.3
1;veh_350;2016-08-10 00:22:41;107.8;6.2
0;veh_347;2016-08-10 00:22:42;89.7;1.9
0;veh_351;2016-08-10 00:23:01;89.1;5.2
1;veh_361;2016-08-10 00:23:04;103.6;5.2
1;veh_359;2016-08-10 00:23:20;91.1;6.3
0;veh_373;2016-08-10 00:23:54;99.2;5.3
1;veh_377;2016-08-10 00:23:55;108.1;3.3
1;veh_381;2016-08-10 00:24:20;105.3;3.4
0;veh_379;2016-08-10 00:24:21;90.3;3.0
0;veh_384;2016-08-10 00:24:26;108.3;4.4
0;veh_387;2016-08-10 00:24:43;97.0;1.5
0;veh_393;2016-08-10 00:25:28;83.7;18.7
0;veh_397;2016-08-10 00:25:36;88.9;10.3
0;veh_401;2016-08-10 00:25:39;96.1;1.1
1;veh_404;2016-08-10 00:25:39;109.3;1.9
1;veh_409;2016-08-10 00:25:54;108.6;6.4
1;veh_414;2016-08-10 00:26:27;87.2;7.5
0;veh_418;2016-08-10 00:26:34;100.2;3.2
0;veh_426;2016-08-10 00:27:02;109.8;1.5
1;veh_432;2016-08-10 00:27:18;107.7;1.4
0;veh_428;2016-08-10 00:27:18;103.9;3.0
1;veh_439;2016-08-10 00:27:43;101.6;4.6
0;veh_438;2016-08-10 00:27:43;86.9;12.1
0;veh_440;2016-08-10 00:27:51;97.0;4.4
0;veh_445;2016-08-10 00:28:27;105.1;3.2
0;veh_447;2016-08-10 00:29:15;88.5;8.6
0;veh_456;2016-08-10 00:29:42;106.6;4.8
0;veh_457;2016-08-10 00:29:50;108.3;5.9
1;veh_464;2016-08-10 00:30:08;107.0;7.0
0;veh_465;2016-08-10 00:30:16;105.6;3.0
0;veh_466;2016-08-10 00:30:29;103.5;1.8
0;veh_476;2016-08-10 00:30:41;108.2;2.0
0;veh_467;2016-08-10 00:30:49;88.0;13.1
1;veh_468;2016-08-10 00:31:13;107.8;4.6
0;veh_474;2016-08-10 00:31:30;109.9;5.7
0;veh_475;2016-08-10 00:31:35;102.1;6.5
1;veh_481;2016-08-10 00:31:40;109.5;5.4
0;veh_469;2016-08-10 00:31:42;89.4;9.0
0;veh_478;2016-08-10 00:31:50;89.6;13.4
0;veh_485;2016-08-10 00:31:55;108.1;1.3
1;veh_488;2016-08-10 00:32:05;107.7;5.3
0;veh_489;2016-08-10 00:32:17;103.6;6.9
1;veh_492;2016-08-10 00:32:34;109.8;4.1
0;veh_491;2016-08-10 00:32:41;84.4;17.3
1;veh_498;2016-08-10 00:32:43;107.9;5.5
0;veh_504;2016-08-10 00:32:56;109.7;5.9
0;veh_502;2016-08-10 00:33:12;89.7;14.1
1;veh_509;2016-08-10 00:33:13;110.1;2.2
0;veh_503;2016-08-10 00:33:18;84.4;19.3
0;veh_512;2016-08-10 00:33:41;89.3;11.9
1;veh_517;2016-08-10 00:33:46;98.2;1.8
0;veh_515;2016-08-10 00:33:46;89.9;9.0
0;veh_521;2016-08-10 00:33:52;109.3;5.6
0;veh_523;2016-08-10 00:33:58;104.3;4.9
1;veh_525;2016-08-10 00:34:03;106.7;2.8
0;veh_544;2016-08-10 00:34:04;107.2;4.1
0;veh_519;2016-08-10 00:34:05;83.4;18.6
1;veh_528;2016-08-10 00:34:07;108.0;3.4
0;veh_539;2016-08-10 00:34:23;105.9;1.2
1;veh_556;2016-08-10 00:34:38;108.7;6.6
0;veh_533;2016-08-10 00:34:40;83.5;18.4
0;veh_537;2016-08-10 00:34:48;91.6;2.8
0;veh_566;2016-08-10 00:34:58;97.5;1.4
0;veh_552;2016-08-10 00:35:13;107.9;5.8
