faixa;veh_id;timestamp;velocidade;comprimento
0;veh_48;2016-08-10 00:03:34;50.5;2.5
0;veh_79;2016-08-10 00:05:31;63.7;1.8
0;veh_110;2016-08-10 00:07:44;55.5;12.5
0;veh_123;2016-08-10 00:07:56;61.4;4.6
0;veh_138;2016-08-10 00:08:33;58.4;2.4
0;veh_156;2016-08-10 00:10:04;67.4;11.9
0;veh_160;2016-08-10 00:10:19;51.4;4.2
0;veh_194;2016-08-10 00:12:41;56.9;12.7
0;veh_196;2016-08-10 00:12:52;59.9;6.8
0;veh_233;2016-08-10 00:16:22;65.9;6.3
0;veh_251;2016-08-10 00:17:25;52.6;13.1
0;veh_277;2016-08-10 00:18:27;70.5;3.3
0;veh_283;2016-08-10 00:18:47;59.9;5.6
0;veh_302;2016-08-10 00:19:38;58.5;15.6
0;veh_320;2016-08-10 00:20:07;68.5;2.8
0;veh_422;2016-08-10 00:25:52;55.3;6.6
0;veh_446;2016-08-10 00:28:09;58.6;5.9
0;veh_454;2016-08-10 00:28:59;50.3;4.2
0;veh_600;2016-08-10 00:36:33;59.2;18.3
0;veh_606;2016-08-10 00:36:42;57.0;3.9
0;veh_629;2016-08-10 00:38:06;53.0;17.9
0;veh_725;2016-08-10 00:42:38;48.7;4.3
0;veh_733;2016-08-10 00:43:07;55.6;8.0
0;veh_741;2016-08-10 00:45:21;63.5;6.8
0;veh_742;2016-08-10 00:45:38;60.4;7.7
0;veh_764;2016-08-10 00:46:30;60.2;6.6
0;veh_778;2016-08-10 00:47:00;44.5;9.2
0;veh_789;2016-08-10 00:47:11;58.5;6.0
0;veh_835;2016-08-10 00:49:38;45.3;7.9
0;veh_847;2016-08-10 00:50:17;51.6;16.7
0;veh_866;2016-08-10 00:51:10;58.9;7.7
0;veh_897;2016-08-10 00:52:55;50.8;7.9
0;veh_917;2016-08-10 00:54:15;56.8;4.2
0;veh_953;2016-08-10 00:55:38;58.0;2.9
0;veh_1013;2016-08-10 00:59:48;51.8;3.4
0;veh_1033;2016-08-10 01:01:04;67.2;18.4
0;veh_1045;2016-08-10 01:01:16;71.9;3.5
0;veh_1044;2016-08-10 01:01:18;56.2;4.9
0;veh_1046;2016-08-10 01:01:20;58.1;5.3
0;veh_1113;2016-08-10 01:03:22;58.0;18.4
0;veh_1152;2016-08-10 01:05:07;50.6;6.9
0;veh_1164;2016-08-10 01:05:38;50.8;2.1
0;veh_1171;2016-08-10 01:05:47;53.2;3.1
0;veh_1173;2016-08-10 01:05:56;65.8;5.1
0;veh_1185;2016-08-10 01:06:24;58.3;3.9
0;veh_1184;2016-08-10 01:06:38;52.9;13.7
0;veh_1229;2016-08-10 01:08:06;62.1;2.7
0;veh_1325;2016-08-10 01:12:56;54.9;2.4
0;veh_1350;2016-08-10 01:15:43;53.8;13.2
0;veh_1426;2016-08-10 01:18:16;62.6;2.7
0;veh_1478;2016-08-10 01:20:09;61.5;18.9
0;veh_1495;2016-08-10 01:20:40;54.8;6.4
